# 미국 4년제 에디터 노트 — id <TAB> 노트
# scripts\gen-us.ps1이 읽어 editor_note에 넣는다. universities-us.json은 생성물이니 직접 고치지 말 것.
# 톤 기준은 us-stony-brook 노트다. 상담사가 직접 말하는 어투, 짧은 문장 변주, 순위·학비 수치는 유지.
# 근거는 DB에 이미 있는 값(QS 순위·도시·학비·IELTS·제휴사·전공)만 쓴다. 없는 사실을 지어내지 말 것.
# 노트를 고치면 data\i18n-uni.json에 영어 번역도 같이 고칠 것 — 빌드가 누락을 알려준다.
us-mit	QS 세계 1위. 공학과 컴퓨터과학에서 기준점이 되는 학교입니다. 패스웨이도 편입도 사실상 닫혀 있어서 다이렉트 전형 하나로 승부해야 합니다. 영어는 IELTS 7.0부터입니다.
us-marquette	밀워키에 있는 예수회 계열 사립입니다. 경영·간호·공학이 중심이고 시카고까지 한 시간 반이라, 대도시를 자주 나갈 생각이면 위치가 나쁘지 않습니다.
us-pepperdine	말리부 해안 캠퍼스로 알려진 사립입니다. 경영과 커뮤니케이션이 중심이고 학비는 연 7만 달러에 가깝습니다. 캠퍼스 환경이 선택 이유가 되는 학교인데, 그만큼 값을 치릅니다.
us-gonzaga	스포캔에 있는 예수회 계열 사립입니다. 경영과 간호가 중심이고 Shorelight 패스웨이 제휴교라 조건부로 들어갈 수 있습니다. 소도시라 캠퍼스 안에서 생활이 도는 구조입니다.
us-james-madison	버지니아 주립이고 학비가 연 3만 2천 달러 선으로 낮습니다. 경영과 교육학, 보건이 중심이고 학부 교육 평판이 좋습니다. 연구 실적보다 학부 수업의 질을 보는 학생에게 맞습니다.
us-san-diego	샌디에이고의 가톨릭계 사립이고 경영과 국제관계가 중심입니다. 학비는 연 5만 9천 달러대. 같은 도시의 UCSD와는 성격이 많이 다르니 두 곳을 헷갈리지 마세요.
# --- 커뮤니티칼리지 8곳 (data\us-cc.tsv의 pw_note와 역할이 다르다: 이쪽은 판단, 저쪽은 경로 설명) ---
us-smc	2+2로 UCLA를 노린다면 가장 먼저 이름이 나오는 학교입니다. 학비가 연 1만 1천 달러대라 UCLA 학부 학비의 4분의 1 수준입니다. 첫 2년 비용을 여기서 줄이고 3학년에 UC로 넘어가는 그림입니다.
us-deanza	쿠퍼티노에 있어 컴퓨터과학으로 갈 학생이 몰립니다. 다만 영어 요건이 IELTS 6.0으로 이 목록의 CC 중에서는 높은 편이니, 점수가 모자라면 제휴 어학원 경로를 먼저 확인하세요.
us-dvc	버클리로 편입하려는 학생이 보는 CC입니다. 국제학생용 1+1+2 트랙을 따로 운영해서 경로가 분명합니다. 학비는 연 1만 달러대. 버클리는 TAG가 없으니 학점 관리가 전부라고 보면 됩니다.
us-ivc	영어 요건이 IELTS 4.5로 이 목록 전체에서 가장 낮습니다. 점수가 아직 안 나온 학생이 미국에서 학업을 시작하는 현실적인 출발점입니다. UC 어바인이 바로 옆입니다.
us-bellevue	UW 시애틀로 편입할 생각이면 배출 1위인 이 학교부터 봅니다. 다만 영어 요건이 IELTS 6.0(모든 영역 5.5 이상)으로 CC 중에서는 높은 편입니다. 학비는 공식 확인이 안 돼 비워 두었습니다.
us-edmonds	캠퍼스 안에 기숙사가 있어 첫 학기 정착 부담이 덜합니다. 공인 점수가 없어도 무료 온라인 배치고사로 대신할 수 있습니다. 시험 준비 없이 바로 출발해야 하는 상황이면 문턱이 가장 낮은 축입니다.
us-seattle-central	시애틀 도심이라 생활과 아르바이트 접근성이 좋습니다. 영어 요건은 IELTS 6.0으로 높은 편이지만, College Bridge 최상위 레벨을 마치면 점수 없이 본과로 넘어갑니다. 점수가 모자라면 그쪽 경로부터 확인하세요.
us-green-river	유학생 지원을 오래 해 온 CC입니다. Academic Transfer로 바로 들어가려면 IELTS 5.5가 필요하고, 점수가 없으면 집중영어(IEP)부터 단계를 밟습니다. 학비는 연 1만 2천 달러대. 시작 시점이 언제냐에 따라 총 기간이 달라지니 계획을 먼저 세우세요.
us-ohio-state	QS 201위. 단일 캠퍼스 기준 미국 최대급 주립이고, 입학 연도의 학비를 졸업까지 동결하는 Tuition Guarantee를 운영해 4년 재정 계획이 서는 학교입니다. 주외 학비가 연 4만 달러로 UC 계열보다 1만 달러쯤 낮습니다. 빅텐 대형 주립의 인프라를 상대적으로 낮은 학비로 쓰고 싶다면 먼저 볼 곳입니다.
us-uc-riverside	QS 398위. UC TAG 참여 캠퍼스라 캘리포니아 CC에서 성적 조건을 채우면 편입이 보장됩니다. 신입으로 UC에 바로 붙기 빠듯한 성적이라면 이쪽 문이 넓습니다. 감귤 연구에서 출발한 학교답게 농업 계열의 전통이 깊습니다.
us-uc-merced	UC 아홉 학부 캠퍼스의 막내로 재학생이 9천 명대라 UC치고 아주 작습니다. QS 종합 순위에는 아직 안 잡히지만 졸업장은 같은 UC입니다. TAG 참여 캠퍼스여서 캘리포니아 CC에서 조건을 채우면 편입이 보장되니, 2+2 설계에서 UC 학위를 확보해 두는 안전판으로 쓰입니다.
